NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062064233,2024,5,F,1,1,1,1,3,,0,4314902,Porto Alegre,43,RS,F,F,C,D,4,B,C,A,C,D,C,B,B,A,B,B,B,D,A,B,B,E,A
210062064234,2024,11,F,1,1,1,1,10,,0,4318903,São Luiz Gonzaga,43,RS,B,C,A,D,2,B,E,A,B,B,B,B,B,A,A,A,A,B,A,B,A,C,A
210062064235,2024,11,F,1,1,1,1,9,,0,4320107,Sarandi,43,RS,H,F,F,D,5,B,J,A,C,D,B,B,C,A,B,B,B,D,B,B,A,D,A
210062064236,2024,3,F,1,3,1,2,0,1.0,0,4313409,Novo Hamburgo,43,RS,B,B,B,B,6,A,C,A,B,C,B,A,B,A,B,A,A,A,A,B,A,D,A
210062064237,2024,16,M,3,1,1,1,18,,0,4309209,Gravataí,43,RS,B,B,C,C,2,A,A,A,B,C,A,A,B,A,A,A,A,B,A,B,A,B,A
210062064266,2024,12,M,2,1,1,1,3,,0,4300604,Alvorada,43,RS,C,C,A,B,2,A,B,A,B,B,A,A,B,A,B,B,A,B,A,B,A,B,B
210062064267,2024,1,M,1,1,1,3,0,,1,4307005,Erechim,43,RS,G,F,E,D,3,A,D,A,B,C,B,A,B,A,B,B,A,B,B,B,B,D,D
210062064268,2024,15,F,2,3,1,4,0,,0,4312401,Montenegro,43,RS,B,B,F,F,2,B,C,A,B,B,B,A,B,A,B,B,A,A,A,B,A,B,F
210062064307,2024,16,M,3,1,1,1,18,,0,4304606,Canoas,43,RS,B,C,B,C,1,B,C,A,B,B,B,A,B,A,A,B,A,B,A,A,B,B,B
210062064308,2024,11,F,1,3,1,1,10,,0,4316907,Santa Maria,43,RS,E,B,C,B,2,A,E,A,B,D,A,A,B,A,B,B,B,B,B,B,B,C,A
210062064309,2024,5,M,3,1,1,1,2,,0,4314902,Porto Alegre,43,RS,C,E,B,F,5,A,A,A,B,D,B,A,B,B,B,B,A,B,A,B,B,E,A
210062064334,2024,10,F,2,3,1,1,7,,0,2611606,Recife,26,PE,B,D,B,B,3,A,B,A,B,C,A,A,B,A,A,A,A,B,A,A,A,D,A
210062064335,2024,11,M,1,2,1,1,9,,0,2933208,Vera Cruz,29,BA,B,B,A,A,3,A,A,A,B,A,A,A,B,A,A,A,A,B,A,A,A,B,A
210062064336,2024,18,F,3,2,1,1,0,,0,3305109,São João de Meriti,33,RJ,C,B,B,B,2,B,D,A,C,C,A,A,B,A,B,A,A,B,A,B,B,C,A
210062064359,2024,1,F,1,4,1,3,0,,1,2302404,Boa Viagem,23,CE,C,D,A,A,4,A,A,A,B,C,A,B,B,A,A,B,A,B,A,B,B,C,A
210062064360,2024,2,M,1,3,1,2,0,1.0,0,5107925,Sorriso,51,MT,E,E,D,F,4,B,I,A,D,D,B,A,B,A,B,A,B,C,B,B,C,E,A
210062064361,2024,11,M,1,3,1,1,14,,0,2412203,São José de Mipibu,24,RN,E,F,D,D,3,B,H,A,B,B,B,A,B,A,B,B,A,B,A,B,B,B,D
210062064362,2024,3,M,1,3,1,2,0,1.0,0,3154606,Ribeirão das Neves,31,MG,E,G,F,D,4,A,C,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062064363,2024,13,M,1,3,1,1,18,,0,4104006,Campina Grande do Sul,41,PR,D,D,C,B,1,B,B,A,B,B,A,A,B,A,A,B,A,B,A,B,B,B,A
210062064364,2024,7,F,1,3,1,1,5,,0,1702208,Araguatins,17,TO,B,E,B,D,2,A,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,B,A
210062064365,2024,5,M,1,3,1,1,0,,0,4318804,São Lourenço do Sul,43,RS,E,G,A,D,3,A,D,A,B,C,B,A,B,A,B,B,B,B,A,B,B,C,A
210062064366,2024,1,F,1,3,1,3,0,,1,5107909,Sinop,51,MT,C,E,A,B,3,A,N,A,C,D,C,A,B,A,B,A,B,B,B,B,B,D,A
210062064367,2024,5,M,1,3,1,2,0,1.0,0,1501709,Bragança,15,PA,E,F,B,B,4,A,B,A,B,C,A,A,B,A,A,A,A,B,A,A,A,D,A
210062064368,2024,10,M,1,3,1,1,0,,0,1200401,Rio Branco,12,AC,D,D,F,F,1,B,C,A,B,C,A,A,B,A,A,A,A,B,A,B,B,B,A
210062064369,2024,1,M,0,1,1,3,0,,1,4314902,Porto Alegre,43,RS,E,E,B,B,4,A,C,A,B,C,A,A,B,A,A,B,A,B,A,B,A,C,E
210062064370,2024,1,M,1,3,1,3,0,,1,2805703,Propriá,28,SE,C,D,D,D,3,A,C,A,D,D,B,A,B,A,B,B,B,B,A,B,B,D,B
210062064371,2024,2,M,1,3,1,3,0,,1,1100122,Ji-Paraná,11,RO,F,D,D,B,4,A,I,A,C,D,C,A,B,A,B,B,B,B,B,B,C,E,A
210062064372,2024,6,F,1,2,1,1,5,,0,2918407,Juazeiro,29,BA,F,F,B,D,3,A,B,A,B,C,A,A,B,A,A,A,A,B,A,A,B,C,D
210062064373,2024,4,F,1,1,1,2,0,,0,3550308,São Paulo,35,SP,D,D,D,B,4,B,D,A,C,D,B,A,C,B,A,B,B,B,A,B,A,D,A
210062064374,2024,2,M,1,1,1,2,0,1.0,0,4119905,Ponta Grossa,41,PR,G,G,E,D,5,A,O,A,C,D,D,A,C,B,B,B,B,D,B,B,E,E,A
210062064375,2024,3,M,1,1,1,2,0,1.0,0,2616308,Vicência,26,PE,C,E,B,B,4,A,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,B,A
210062064376,2024,11,M,1,3,1,1,8,,0,2801207,Canindé de São Francisco,28,SE,B,C,A,A,4,B,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,C,A
210062064377,2024,4,M,1,1,1,1,1,,0,4322400,Uruguaiana,43,RS,E,E,C,B,4,B,C,A,B,B,B,A,B,A,B,A,A,B,A,B,A,C,A
210062064378,2024,8,F,1,2,1,1,6,,0,3300456,Belford Roxo,33,RJ,B,E,C,B,2,A,B,A,B,C,A,A,B,A,B,B,A,B,A,B,A,C,A
210062064379,2024,11,F,1,1,1,1,10,,0,3106705,Betim,31,MG,H,E,F,B,2,A,F,A,B,C,A,A,B,A,B,B,A,B,A,B,B,C,A
210062064380,2024,17,F,2,1,1,1,0,,0,3170107,Uberaba,31,MG,D,D,B,B,3,B,D,A,C,C,B,B,B,A,B,B,A,C,A,B,A,D,C
210062064381,2024,11,F,0,0,1,1,9,,0,4315602,Rio Grande,43,RS,D,B,B,F,3,A,A,A,B,B,A,A,B,A,B,A,A,B,A,B,A,D,A
210062064382,2024,3,F,1,1,1,2,0,1.0,0,3550308,São Paulo,35,SP,B,C,F,B,3,A,B,A,B,B,A,A,B,A,B,B,B,C,B,B,B,D,A
210062064383,2024,1,F,1,1,1,3,0,,1,4323002,Viamão,43,RS,E,E,B,B,4,A,D,A,C,D,C,A,B,A,B,B,A,C,A,B,B,D,A
210062064384,2024,1,F,1,3,1,3,0,,1,2304400,Fortaleza,23,CE,D,F,F,D,4,A,D,A,C,C,B,A,B,A,B,B,A,B,A,B,B,D,E
210062064385,2024,8,M,1,1,1,1,4,,0,1302603,Manaus,13,AM,E,G,E,D,2,B,B,B,B,C,A,A,B,A,A,A,A,A,A,A,B,C,A
210062064386,2024,9,F,1,1,1,1,7,,0,3163706,São Lourenço,31,MG,C,C,A,B,3,B,E,A,B,D,B,A,B,A,A,A,A,B,A,B,B,D,A
210062064387,2024,8,F,1,1,1,1,5,,0,4322400,Uruguaiana,43,RS,C,E,C,C,3,A,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,C,A
210062064388,2024,3,M,1,2,1,2,0,1.0,0,4315701,Rio Pardo,43,RS,G,E,E,E,5,A,O,A,C,D,C,A,B,A,B,B,B,D,A,B,B,E,A
210062064389,2024,3,M,1,3,1,2,0,1.0,0,4314902,Porto Alegre,43,RS,D,G,C,D,3,A,C,A,B,C,A,A,B,A,B,A,A,B,A,B,A,C,A
210062064390,2024,8,F,0,2,1,1,0,,0,4304606,Canoas,43,RS,E,E,C,B,3,A,B,A,B,B,A,A,B,B,B,A,A,B,A,B,A,B,A
210062064391,2024,13,F,1,1,1,1,0,,0,4315701,Rio Pardo,43,RS,C,A,A,B,2,A,A,A,B,B,A,B,B,A,B,B,A,B,A,B,A,B,A
210062064392,2024,8,F,1,1,1,2,0,,0,4306908,Encruzilhada do Sul,43,RS,H,B,F,A,1,B,B,A,B,B,B,A,B,A,A,A,A,B,A,B,B,B,A
210062064393,2024,3,F,1,1,1,2,0,1.0,0,4311809,Marau,43,RS,H,H,C,B,3,B,H,A,B,C,B,B,B,B,B,B,B,B,B,B,B,E,A
210062064394,2024,4,M,1,1,1,2,0,1.0,0,4314407,Pelotas,43,RS,F,E,D,D,4,A,K,A,B,D,A,A,B,B,B,B,A,B,A,B,E,D,C
210062064395,2024,12,F,0,1,1,1,17,,0,4318507,São José do Norte,43,RS,B,C,B,B,3,B,F,A,C,C,B,A,B,A,B,B,A,C,A,B,B,C,A
210062064396,2024,3,M,1,1,1,2,0,1.0,0,4317400,Santiago,43,RS,E,C,E,F,3,A,J,A,C,D,B,A,B,B,B,B,A,B,B,B,C,D,A
210062064397,2024,12,F,1,1,1,1,0,,0,4314407,Pelotas,43,RS,C,B,B,B,3,A,D,A,B,C,B,A,B,B,B,B,B,B,B,B,D,D,A
210062064398,2024,14,F,2,2,2,1,18,,0,4314407,Pelotas,43,RS,B,C,C,B,4,A,C,A,B,C,B,A,B,A,A,B,A,B,A,B,A,C,A
210062064399,2024,17,M,0,2,1,1,17,,0,4314902,Porto Alegre,43,RS,B,D,C,F,2,B,D,A,B,C,B,A,B,B,B,B,B,B,B,B,B,B,A
210062064400,2024,15,F,3,2,1,1,18,,0,4311205,Júlio de Castilhos,43,RS,B,C,A,B,2,B,C,A,B,D,A,A,B,A,B,A,A,C,B,B,B,C,A
210062064401,2024,11,F,1,3,1,1,10,,0,4322400,Uruguaiana,43,RS,H,E,F,B,2,B,C,A,B,B,A,A,B,A,A,B,A,B,A,B,A,C,A
210062064402,2024,10,F,1,1,1,1,0,,0,4314902,Porto Alegre,43,RS,G,G,E,D,3,A,B,A,C,D,B,A,B,A,B,B,B,C,A,B,D,D,A
210062064403,2024,6,F,1,1,1,1,2,,0,4313201,Nova Petrópolis,43,RS,B,C,D,B,4,B,M,A,C,D,D,A,B,B,B,B,B,D,A,B,B,B,A
210062064404,2024,5,M,1,3,1,1,2,,0,2919207,Lauro de Freitas,29,BA,E,E,C,B,1,B,C,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062064405,2024,11,M,1,1,1,1,9,,0,3530607,Mogi das Cruzes,35,SP,F,E,D,B,4,B,O,A,C,D,C,B,B,A,B,B,B,D,A,B,C,E,A
210062064406,2024,4,M,1,1,1,1,1,,0,4311809,Marau,43,RS,E,E,E,B,3,B,F,A,B,D,C,A,B,A,B,B,A,B,A,B,B,D,A
210062064407,2024,12,F,1,2,1,4,0,,0,4316907,Santa Maria,43,RS,D,C,B,A,4,B,B,D,B,D,A,A,B,A,B,B,A,B,A,B,A,C,A
210062064414,2024,5,F,1,5,1,1,2,,0,3106200,Belo Horizonte,31,MG,E,E,D,B,4,A,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,B,A
210062064415,2024,4,F,1,2,1,1,2,,0,3302205,Itaperuna,33,RJ,C,E,B,B,4,B,C,A,B,D,A,A,B,A,B,A,A,B,A,B,B,C,A
210062064416,2024,14,M,2,1,1,1,0,,0,2312908,Sobral,23,CE,C,D,C,C,2,B,D,C,D,D,B,A,C,A,B,B,B,C,A,B,C,B,A
210062064417,2024,4,M,1,1,1,1,2,,0,4104907,Castro,41,PR,H,F,F,E,4,A,E,A,C,D,A,B,B,A,B,B,B,B,A,B,C,E,A
210062064418,2024,6,F,1,3,1,1,3,,0,2910800,Feira de Santana,29,BA,F,E,F,F,2,A,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,C,A
210062064419,2024,8,F,1,1,1,1,6,,0,2108207,Pedreiras,21,MA,B,B,A,A,5,A,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,B,A
210062064420,2024,8,F,1,3,1,1,6,,0,3548708,São Bernardo do Campo,35,SP,H,E,F,F,2,B,C,A,B,B,A,B,B,A,A,B,A,B,A,B,B,B,A
210062064421,2024,13,M,1,1,1,1,18,,0,2202208,Campo Maior,22,PI,D,D,B,B,2,B,H,B,C,D,C,A,B,A,B,B,A,B,A,B,B,C,D
210062064422,2024,14,F,1,2,1,1,0,,0,2927408,Salvador,29,BA,E,C,B,C,6,B,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,D,A
210062064423,2024,10,F,1,1,1,1,8,,0,4317509,Santo Ângelo,43,RS,E,E,A,D,4,B,F,A,B,D,B,A,B,B,B,B,A,B,A,B,B,E,A
210062064424,2024,6,F,1,1,1,1,5,,0,4314407,Pelotas,43,RS,F,E,D,B,1,B,C,A,B,B,B,A,B,A,B,B,A,B,A,B,B,B,A
210062064425,2024,3,M,1,2,1,2,0,1.0,0,4314902,Porto Alegre,43,RS,C,D,C,B,2,A,A,A,B,C,A,A,B,A,B,A,A,B,A,A,A,C,A
210062064426,2024,3,F,1,1,1,2,0,1.0,0,4322509,Vacaria,43,RS,C,C,C,B,4,B,B,A,B,C,B,A,B,A,B,B,A,C,B,B,B,E,A
210062064427,2024,2,F,1,2,1,3,0,,1,2111300,São Luís,21,MA,E,E,F,D,5,A,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,C,A
210062064428,2024,1,M,1,3,1,3,0,,1,3171303,Viçosa,31,MG,B,G,D,E,4,B,H,D,C,D,C,B,B,A,B,B,A,B,A,B,D,E,A
210062064429,2024,3,M,1,3,1,1,0,,0,2306702,Jaguaretama,23,CE,A,E,A,A,4,A,A,A,B,C,A,A,B,A,A,A,A,B,A,B,A,C,A
210062064430,2024,12,F,2,5,1,1,14,,0,2512903,Rio Tinto,25,PB,B,F,A,D,4,B,C,A,B,C,A,A,B,A,A,A,A,B,A,B,A,C,A
210062064431,2024,11,F,1,1,1,1,8,,0,5221403,Trindade,52,GO,C,C,B,B,4,A,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,C,A
210062064432,2024,9,M,1,2,1,1,8,,0,1501204,Baião,15,PA,D,G,A,D,1,A,C,D,B,C,A,A,B,A,A,A,A,B,A,B,A,B,A
210062064433,2024,3,F,1,3,1,3,0,,1,4306403,Dois Irmãos,43,RS,H,E,F,B,2,A,C,A,B,C,A,A,B,A,B,B,A,B,A,B,A,B,A
210062064484,2024,14,F,2,3,2,1,0,,0,5107602,Rondonópolis,51,MT,A,B,A,A,4,A,E,A,B,C,B,C,B,B,A,A,A,B,A,A,A,D,A
210062064485,2024,12,F,1,1,1,1,16,,0,3106705,Betim,31,MG,B,B,C,B,3,A,B,A,C,D,B,A,B,A,B,A,A,C,A,B,B,D,A
210062064486,2024,3,M,1,3,1,2,0,1.0,0,1501907,Bujaru,15,PA,B,C,B,A,4,A,A,A,B,B,A,B,B,A,A,A,A,B,A,B,A,B,A
210062064487,2024,10,M,1,1,1,1,8,,0,5208707,Goiânia,52,GO,D,D,C,C,4,B,G,A,B,D,B,B,B,B,B,A,A,B,A,B,A,E,A
210062064488,2024,17,F,1,1,1,1,18,,0,4314902,Porto Alegre,43,RS,D,G,B,D,2,B,K,A,C,C,A,A,B,A,B,B,B,B,A,B,C,C,D
210062064489,2024,13,F,1,1,1,1,18,,0,4314902,Porto Alegre,43,RS,E,F,D,D,2,A,A,A,B,B,A,A,B,A,A,A,A,B,A,A,B,B,A
210062064490,2024,14,F,0,1,1,1,18,,0,4322806,Veranópolis,43,RS,B,B,C,C,2,B,F,A,B,B,B,A,B,A,B,A,B,B,A,B,A,C,A
210062064491,2024,9,F,1,1,1,1,4,,0,4313409,Novo Hamburgo,43,RS,D,B,B,B,4,A,D,A,B,C,C,A,B,A,B,B,B,A,B,B,B,E,A
210062064492,2024,14,F,0,2,1,1,0,,0,4314407,Pelotas,43,RS,C,C,B,B,3,B,C,A,B,C,A,B,B,A,B,A,A,B,A,B,A,C,A
210062064493,2024,11,F,1,3,1,1,8,,0,1302603,Manaus,13,AM,E,E,B,B,3,A,C,A,B,C,A,A,B,A,A,A,A,B,A,B,A,D,A
210062064494,2024,11,M,2,3,1,1,11,,0,2800308,Aracaju,28,SE,B,B,C,A,4,A,B,A,B,B,A,B,B,A,A,A,A,B,A,A,A,B,A
210062064495,2024,8,F,2,3,1,1,5,,0,2306256,Itaitinga,23,CE,C,B,A,A,4,B,B,A,B,C,A,B,B,A,B,B,A,C,A,B,B,D,A
210062064496,2024,3,F,1,1,1,2,0,,0,2306405,Itapipoca,23,CE,C,F,A,D,4,A,D,A,C,C,B,A,B,A,A,A,A,B,A,B,B,C,D
210062064497,2024,2,F,1,3,1,3,0,,1,2304202,Crato,23,CE,E,E,C,D,5,A,B,A,B,B,A,B,B,A,A,A,A,B,A,B,A,B,A
210062064498,2024,6,F,1,1,1,1,3,,0,3509007,Caieiras,35,SP,E,E,C,D,3,B,E,A,B,C,B,A,B,A,B,B,A,B,A,B,B,D,A
210062064499,2024,3,F,1,1,1,2,0,1.0,0,3201308,Cariacica,32,ES,C,A,C,C,4,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A
210062064500,2024,2,F,1,1,1,2,0,1.0,0,4313409,Novo Hamburgo,43,RS,C,G,C,B,3,B,H,A,B,C,B,B,B,A,B,B,B,D,B,B,A,D,A
210062064501,2024,1,F,1,1,1,3,0,,1,4322509,Vacaria,43,RS,E,E,F,D,2,A,C,A,B,C,A,B,B,A,B,B,B,B,B,B,B,C,A
210062064502,2024,17,F,3,3,1,1,18,,0,4314902,Porto Alegre,43,RS,A,C,C,C,1,A,A,A,B,B,A,A,B,A,B,A,B,B,A,B,A,B,A
210062064503,2024,3,M,3,1,1,2,0,1.0,0,4303905,Campo Bom,43,RS,G,G,D,D,3,A,J,A,C,C,B,A,B,B,A,A,A,B,B,B,E,D,D
210062064504,2024,3,F,1,1,1,2,0,1.0,0,4309209,Gravataí,43,RS,B,E,B,B,3,A,B,A,B,C,A,A,B,A,B,A,A,B,A,B,B,C,A
210062064505,2024,4,F,1,2,1,3,0,,1,4303103,Cachoeirinha,43,RS,D,D,B,B,6,A,B,D,B,C,A,A,B,B,A,A,A,B,A,B,A,C,A
210062064506,2024,6,F,1,3,1,1,3,,0,4314902,Porto Alegre,43,RS,H,D,F,F,2,B,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,B,A
210062064507,2024,12,F,1,3,1,1,4,,0,4301008,Arroio do Meio,43,RS,B,D,A,A,1,A,A,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062064508,2024,1,F,1,1,1,3,0,,1,4314902,Porto Alegre,43,RS,F,G,E,D,3,A,E,A,B,B,A,B,B,A,A,A,A,A,A,B,A,C,A
210062064509,2024,2,F,1,1,1,3,0,,1,4305355,Charqueadas,43,RS,E,E,D,D,4,A,C,A,B,D,B,A,B,A,B,B,A,C,A,B,B,C,A
210062064510,2024,9,M,1,1,1,1,0,,0,4300406,Alegrete,43,RS,H,F,F,C,2,B,C,A,B,C,A,A,B,B,A,B,A,C,A,B,B,B,A
210062064511,2024,11,M,1,2,1,1,0,,0,4300604,Alvorada,43,RS,E,E,F,F,3,B,C,A,B,B,A,A,B,A,A,A,A,A,A,A,A,D,A
210062064512,2024,1,F,1,1,1,3,0,,1,4303103,Cachoeirinha,43,RS,E,E,D,B,4,A,J,A,B,C,B,A,B,A,B,B,B,C,A,B,B,E,A
210062064513,2024,11,F,1,1,1,1,13,,0,4314902,Porto Alegre,43,RS,E,F,E,E,2,B,J,A,C,C,A,A,B,A,B,B,B,B,A,B,B,B,D
210062064514,2024,15,F,3,1,1,1,15,,0,4303509,Camaquã,43,RS,A,B,A,A,2,B,C,A,C,C,A,B,B,A,B,B,A,B,A,B,A,B,A
210062064515,2024,1,F,1,3,1,3,0,,1,4311809,Marau,43,RS,D,E,C,D,3,B,J,A,C,D,C,B,C,B,B,A,A,C,B,B,C,E,B
210062064516,2024,1,F,1,1,1,3,0,,1,4311403,Lajeado,43,RS,B,C,A,A,2,B,C,A,C,C,B,A,B,B,B,B,A,A,A,B,A,C,A
210062064517,2024,2,F,1,3,1,3,0,,1,4314902,Porto Alegre,43,RS,D,E,B,D,4,A,D,A,C,D,A,B,B,A,B,B,B,D,A,B,A,E,A
210062064518,2024,13,F,1,1,1,1,18,,0,4300406,Alegrete,43,RS,H,C,F,B,4,B,D,A,B,C,A,A,B,B,B,B,A,B,A,B,B,C,A
210062064519,2024,16,F,2,1,1,1,0,,0,4317103,Sant'Ana do Livramento,43,RS,E,D,B,F,4,A,H,A,B,C,B,A,B,A,B,B,A,B,A,B,A,D,A
210062064520,2024,2,F,1,1,1,3,0,,1,4305108,Caxias do Sul,43,RS,C,D,C,B,6,A,E,A,C,D,B,A,B,B,B,B,A,B,A,B,C,E,A
210062064521,2024,12,F,1,3,1,1,14,,0,4314050,Parobé,43,RS,B,B,C,B,5,B,B,A,B,D,B,A,B,A,A,A,A,B,A,B,B,B,A
210062064522,2024,1,M,1,3,1,3,0,,1,4308508,Frederico Westphalen,43,RS,E,G,B,D,4,A,G,A,B,D,B,A,B,A,B,A,A,B,A,B,B,D,A
210062064523,2024,2,F,1,3,1,2,0,1.0,0,2102325,Buriticupu,21,MA,H,H,A,A,4,B,B,A,B,C,A,B,B,A,A,A,A,B,A,B,A,B,A
210062064524,2024,7,M,1,1,1,1,2,,0,1501204,Baião,15,PA,F,D,A,A,3,A,B,A,B,C,B,A,B,A,B,A,A,B,A,B,B,C,A
210062064525,2024,5,M,1,3,1,1,2,,0,4303103,Cachoeirinha,43,RS,H,H,B,C,2,B,C,A,B,B,B,A,B,A,B,A,A,B,A,B,A,C,A
210062064526,2024,14,M,2,3,1,1,18,,0,1302603,Manaus,13,AM,E,E,B,B,2,B,F,A,B,B,A,A,B,A,B,B,A,B,A,B,A,C,A
210062064527,2024,6,M,1,2,1,1,3,,0,4314902,Porto Alegre,43,RS,E,G,F,D,2,A,H,A,B,C,A,A,B,A,B,B,B,D,A,B,C,C,A
210062064528,2024,11,F,1,2,1,1,6,,0,4314902,Porto Alegre,43,RS,D,E,C,B,5,B,E,A,B,C,A,A,B,A,B,B,A,D,B,B,B,E,A
210062064529,2024,13,F,2,1,2,1,0,,0,4314902,Porto Alegre,43,RS,B,D,B,B,3,B,B,A,B,B,A,A,B,A,B,B,A,B,A,B,A,B,A
210062064533,2024,3,M,1,3,1,1,1,,0,4117701,Palmeira,41,PR,H,E,F,C,4,B,E,A,B,C,C,A,B,A,B,B,A,B,B,B,A,D,A
210062064534,2024,2,F,1,3,2,3,0,,1,5106422,Peixoto de Azevedo,51,MT,E,E,C,C,4,A,C,A,B,C,A,B,B,B,A,A,A,A,A,B,A,D,A
210062064535,2024,13,M,1,1,1,1,9,,0,4314902,Porto Alegre,43,RS,C,B,B,B,1,B,B,A,B,B,A,B,B,A,B,B,A,B,A,A,A,B,B
210062064536,2024,15,F,2,3,1,1,18,,0,2905701,Camaçari,29,BA,C,F,C,D,2,B,G,A,B,C,B,A,B,A,B,A,B,C,B,B,C,C,A
210062064537,2024,2,F,3,1,1,3,0,,1,3549904,São José dos Campos,35,SP,F,E,D,D,2,A,E,A,B,C,B,A,B,A,B,B,A,B,B,B,B,C,D
210062064538,2024,11,M,0,1,1,1,9,,0,3506359,Bertioga,35,SP,G,F,E,D,2,B,H,A,D,C,B,B,B,A,B,B,A,B,A,B,B,C,D
210062064539,2024,4,M,1,1,1,1,0,,0,5208707,Goiânia,52,GO,H,D,D,D,4,B,H,B,C,D,D,A,B,A,B,B,B,D,A,B,C,E,D
210062064540,2024,10,F,1,3,1,1,7,,0,3305109,São João de Meriti,33,RJ,B,E,B,D,2,A,B,A,B,C,A,A,B,A,A,A,A,B,A,B,A,C,A
210062064541,2024,1,F,1,1,1,3,0,,1,3550308,São Paulo,35,SP,E,D,D,F,4,A,B,A,B,C,B,A,B,A,A,B,A,A,A,A,A,B,D
210062064542,2024,5,F,1,3,1,1,2,,0,3505708,Barueri,35,SP,B,C,C,B,3,B,C,A,C,B,B,A,C,B,B,B,A,C,A,B,B,D,A
210062064543,2024,14,F,2,1,1,1,18,,0,4314902,Porto Alegre,43,RS,F,D,D,C,4,B,F,A,C,D,B,A,B,A,B,B,B,C,B,B,C,C,D
210062064544,2024,12,M,1,1,1,1,13,,0,3118601,Contagem,31,MG,D,F,B,D,2,A,F,A,B,C,A,A,B,A,B,A,A,C,A,B,B,C,A
210062064545,2024,4,M,1,2,1,2,0,1.0,0,5003702,Dourados,50,MS,B,E,C,B,3,B,B,A,B,C,A,B,B,A,A,A,A,B,A,B,A,D,A
210062064546,2024,11,F,1,1,1,1,0,,0,2911105,Formosa do Rio Preto,29,BA,E,C,A,A,4,B,C,A,C,D,B,B,B,A,A,A,A,B,A,B,A,B,A
210062064547,2024,9,M,1,1,1,1,7,,0,3550308,São Paulo,35,SP,B,E,B,B,4,B,B,A,B,B,A,A,B,A,B,B,B,C,A,B,B,E,A
210062064548,2024,4,F,1,1,3,1,1,,0,4314902,Porto Alegre,43,RS,E,E,B,B,4,A,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,C,A
210062064549,2024,8,M,1,1,1,1,5,,0,3167202,Sete Lagoas,31,MG,E,G,F,D,3,A,E,A,C,C,A,A,B,A,B,A,A,C,A,B,B,D,D
210062064550,2024,3,F,1,2,1,2,0,1.0,0,3550308,São Paulo,35,SP,F,G,D,D,2,B,E,A,B,B,A,A,B,A,A,B,A,B,A,B,A,B,A
210062064551,2024,3,F,1,3,1,2,0,1.0,0,3518800,Guarulhos,35,SP,H,B,E,E,2,B,C,A,B,C,C,A,B,A,B,B,A,B,B,B,A,C,A
210062064552,2024,7,F,1,2,1,2,0,1.0,0,3147402,Paraopeba,31,MG,H,H,F,F,5,B,B,A,B,D,A,A,B,A,B,A,A,B,A,B,A,D,A
210062064553,2024,4,M,1,1,1,1,1,,0,5201405,Aparecida de Goiânia,52,GO,E,E,B,B,4,A,B,A,B,C,A,B,B,A,A,B,A,B,A,B,A,C,A
210062064554,2024,2,F,1,2,0,2,0,1.0,0,2110708,São Domingos do Maranhão,21,MA,B,B,A,A,3,A,B,A,B,B,B,B,B,A,A,A,A,A,A,B,A,B,A
210062064555,2024,3,M,1,3,1,2,0,1.0,0,1600535,Porto Grande,16,AP,G,G,D,D,4,A,G,B,C,D,B,B,B,B,B,A,A,C,B,B,B,C,A
210062064556,2024,8,M,1,3,1,1,6,,0,1100023,Ariquemes,11,RO,E,F,D,D,6,A,L,A,D,D,C,A,C,A,B,B,B,D,A,B,E,E,D
210062064557,2024,11,M,1,1,1,1,10,,0,1302603,Manaus,13,AM,E,F,A,D,4,A,C,A,C,C,A,A,B,A,B,B,A,C,A,B,A,D,A
210062064558,2024,7,F,1,3,1,1,2,,0,3201506,Colatina,32,ES,H,H,B,B,2,B,D,A,B,C,A,B,B,A,B,B,A,C,A,B,A,C,A
210062064559,2024,11,F,1,2,1,1,12,,0,3151404,Pitangui,31,MG,E,G,D,D,2,B,J,A,C,C,B,A,B,A,B,A,B,C,A,B,C,C,D
